SIZE;AVL;OPEN_ADDRESSING;CUCKOO
10000;1120;630;800
20000;1130;680;770
30000;1120;780;840
40000;1220;850;760
50000;1210;830;760
75000;1180;1350;830
100000;1400;980;740
125000;1250;930;800
150000;1180;920;850
200000;1210;810;760
250000;1160;830;810
300000;1090;900;750
400000;1230;810;830
500000;1180;820;790
