SIZE;BinaryHeap;PLACEHOLDER
5000;128;0
10000;112;0
15000;128;0
20000;136;0
25000;120;0
30000;120;0
35000;138;0
40000;114;0
45000;112;0
50000;144;0
55000;116;0
60000;140;0
65000;120;0
70000;122;0
75000;118;0
80000;110;0
85000;152;0
90000;126;0
95000;98;0
100000;118;0
