SIZE;BinaryHeap;PLACEHOLDER
5000;74;0
10000;82;0
15000;72;0
20000;74;0
25000;86;0
30000;82;0
35000;84;0
40000;86;0
45000;84;0
50000;84;0
55000;82;0
60000;88;0
65000;88;0
70000;90;0
75000;94;0
80000;96;0
85000;86;0
90000;92;0
95000;84;0
100000;88;0
