SIZE;ArrayList;ArrayList - max;SinglyLinkedList;SinglyLinkedList - max;DoublyLinkedList;DoublyLinkedList - max5000;7226;9200;224;600;202;300
10000;14196;21100;246;800;244;800
15000;21282;41900;252;800;290;1000
20000;27622;41900;290;800;310;1000
25000;36676;57300;322;1000;366;1500
30000;47710;119700;364;1000;360;1500
35000;54756;119700;280;1000;336;1500
40000;61794;119700;338;1000;328;1500
45000;70558;119700;316;1000;288;1500
50000;77854;119700;296;1000;308;1500
55000;84728;121700;330;1000;340;1500
60000;93260;139100;304;1000;426;2300
65000;101146;139100;350;1200;408;2300
70000;105834;152100;402;1200;416;2300
75000;110200;152100;350;1200;428;2300
80000;114104;152500;360;1200;464;2300
85000;125920;162000;448;1200;474;2300
90000;129354;166400;406;1200;456;2300
95000;133956;168900;332;1200;366;2300
100000;144256;205300;372;1200;368;2300
